candidato,horizonte,N_airbnb_snapshot,N_com_proxy,median_static_proxy,P25,P75,median_sale_price,capital_efficiency
apartamento 2Q Morretes,H30,229,39,9100.0,6336.0,11775.0,790000.0,0.011518987341772152
apartamento 2Q Morretes,H60,229,42,11350.0,7312.5,15094.875,790000.0,0.014367088607594936
apartamento 2Q Morretes,H91,229,43,12650.0,7978.75,18355.0,790000.0,0.0160126582278481
apartamento 2Q Meia Praia,H30,723,98,11010.0,8652.5,14125.0,1080000.0,0.010194444444444445
apartamento 2Q Meia Praia,H60,723,120,15912.125,12010.875,21402.0,1080000.0,0.014733449074074074
apartamento 2Q Meia Praia,H91,723,126,15925.0,10573.958295,22475.0,1080000.0,0.01474537037037037
apartamento 2Q Centro,H30,183,49,11550.0,8000.0,15390.0,1150000.0,0.010043478260869565
apartamento 2Q Centro,H60,183,58,15079.0,10036.5,20060.25,1150000.0,0.013112173913043479
apartamento 2Q Centro,H91,183,59,15000.0,9975.0,20016.0,1150000.0,0.013043478260869565
apartamento 1Q Centro,H30,116,69,8844.0,6940.0,11664.0,890000.0,0.009937078651685393
apartamento 1Q Centro,H60,116,73,10934.0,8148.0,15672.0,890000.0,0.012285393258426966
apartamento 1Q Centro,H91,116,75,10416.0,7592.5,13188.0,890000.0,0.011703370786516855
