feature,target,N_true,N_false,med_true,med_false,diff_abs,diff_pct
can_instant_book_b,static revenue,285,487,15600.0,17600.0,-2000.0,-0.11363636363636363
can_instant_book_b,ADR,285,487,523.0,550.0,-27.0,-0.04909090909090909
can_instant_book_b,unavailability,285,487,0.3186813186813186,0.3956043956043956,-0.07692307692307698,-0.19444444444444461
is_professional_b,static revenue,170,602,13684.75,17805.0,-4120.25,-0.23140971637180568
is_professional_b,ADR,170,602,542.25,527.0,15.25,0.028937381404174574
is_professional_b,unavailability,170,602,0.2967032967032967,0.4065934065934066,-0.10989010989010989,-0.2702702702702703
is_new_listing_b,static revenue,14,279,11431.0,15085.714999999998,-3654.7149999999983,-0.24226329345344247
is_new_listing_b,ADR,14,279,681.0,549.0,132.0,0.24043715846994534
is_new_listing_b,unavailability,14,279,0.20879120879120874,0.3186813186813186,-0.10989010989010986,-0.3448275862068965
is_guest_favorite_b,static revenue,484,293,18000.0,14933.3324,3066.6676000000007,0.20535721819196906
is_guest_favorite_b,ADR,484,293,511.5,550.0,-38.5,-0.07
is_guest_favorite_b,unavailability,484,293,0.41208791208791207,0.3076923076923077,0.10439560439560436,0.33928571428571414
is_superhost_b,static revenue,347,430,20000.0,14752.5,5247.5,0.35570242331808166
is_superhost_b,ADR,347,430,500.0,550.0,-50.0,-0.09090909090909091
is_superhost_b,unavailability,347,430,0.4615384615384615,0.3076923076923077,0.1538461538461538,0.49999999999999983
