feature,N,missing_rate,min,P01,P25,mediana,P75,P99,max,cardinalidade,variancia,extreme_for_review
n_beds,4441,0.0,0.0,0.0,2.0,3.0,4.0,9.0,50.0,23,4.6997,40.0
n_guests,4441,0.0,1.0,2.0,5.0,6.0,8.0,15.0,16.0,16,6.1586,51.0
n_bathrooms,4441,0.0,0.0,0.0,2.0,2.0,3.0,5.0,19.0,15,1.1469,29.0
n_bedrooms,4441,0.0,0.0,0.0,2.0,3.0,3.0,5.0,16.0,13,1.0045,20.0
cleaning_fee,4441,0.0,0.0,0.0,100.0,250.0,300.0,550.0,1200.0,139,20229.9983,38.0
picture_count,4441,0.0,0.0,0.0,0.0,12.0,22.0,66.0,195.0,97,254.4921,43.0
n_reviews,4441,0.0,0.0,0.0,0.0,2.0,8.0,106.0,504.0,132,560.6404,44.0
star_clean,2901,0.3468,1.0,3.670000076293945,4.829999923706055,5.0,5.0,5.0,5.0,83,0.1128,29.0
guest_sat_clean,2901,0.3468,1.0,3.0,4.0,5.0,5.0,5.0,5.0,6,0.3002,11.0
n_reviews_host,4441,0.0,0.0,0.0,1.0,7.0,34.0,41299.0,41299.0,205,42146035.1484,0.0
star_host_clean,3587,0.1923,1.0,3.232199983596802,4.760000228881836,4.909999847412109,5.0,5.0,5.0,93,0.1089,36.0
years_host,4441,0.0,0.0,0.0,1.0,3.0,6.0,9.0,13.0,14,7.7187,43.0
months_host,4441,0.0,0.0,0.0,1.0,2.0,5.0,11.0,11.0,12,13.4141,0.0
amenities_count,4441,0.0,0.0,4.0,10.0,18.0,32.0,55.0,86.0,71,183.559,70.0
description_length,4441,0.0,0.0,0.0,187.0,364.0,498.0,904.6000000000004,1746.0,709,37593.7618,45.0
can_instant_book_b,4086,0.0799,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,0.1797,
is_professional_b,4086,0.0799,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,0.0862,
is_new_listing_b,3567,0.1968,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,0.163,
is_guest_favorite_b,4441,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,0.1581,
is_superhost_b,4441,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,0.1605,
is_verified_b,4441,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0.0065,
suburb_clean,4441,0.0,,,,,,,,16,,
listing_type_low,4441,0.0,,,,,,,,4,,
