target,with_suburb,validation,n,rf_mae_mean,rf_mae_std,rf_r2_mean,rf_r2_std,dummy_mae_mean,dummy_mae_std,rf_vs_dummy_ratio
static revenue,True,grouped_by_owner,777,14323.651125476648,2237.2380010519882,-0.6503341525123372,0.9788524621693463,12946.859503657402,3082.8937969443914,1.1063417442222425
static revenue,True,random_listing_kfold,777,13268.477672195053,2054.8584177212506,-0.10788798892428622,0.1698590482722482,12830.76413689756,1770.2543989986293,1.0341143778053528
static revenue,False,grouped_by_owner,777,15033.815411271284,1501.5573500600735,-1.1161595547525955,1.8153124753359617,12946.859503657402,3082.8937969443914,1.1611939873931845
static revenue,False,random_listing_kfold,777,13287.477817398269,1961.000357303669,-0.12456963038111754,0.18460508156432814,12830.76413689756,1770.2543989986293,1.0355952050577668
ADR,True,grouped_by_owner,777,213.12648060429086,39.69043418919041,-0.28492376714294687,0.9864220645794168,231.88211830918112,49.62085045532069,0.9191156358168061
ADR,True,random_listing_kfold,777,199.28303714065203,24.63435674627507,-0.1175935394097249,0.48926610593472,231.03708090252275,30.117454208335495,0.8625586696394069
ADR,False,grouped_by_owner,777,213.8523494342534,38.975994038147675,-0.30603554863966353,1.0222466064583884,231.88211830918112,49.62085045532069,0.9222459713306239
ADR,False,random_listing_kfold,777,198.41319983591316,24.555643241357075,-0.07597930232936265,0.4463772237490993,231.03708090252275,30.117454208335495,0.8587937445401936
unavailability,True,grouped_by_owner,777,0.20201316984642043,0.010536838641208152,-0.11767288425597056,0.19180223418338826,0.19986075132477119,0.02091775569314302,1.0107695908645495
unavailability,True,random_listing_kfold,777,0.1753544873129418,0.007988510536371882,0.13591775006870455,0.05405843710625271,0.19601996018869466,0.01054826296135827,0.8945746501740962
unavailability,False,grouped_by_owner,777,0.20136342631727241,0.010125387220284068,-0.11219603742032976,0.18947404008748636,0.19986075132477119,0.02091775569314302,1.0075186097447388
unavailability,False,random_listing_kfold,777,0.17551755398093577,0.007382587499613576,0.13580125405328955,0.04876661375823815,0.19601996018869466,0.01054826296135827,0.8954065382524174
