feature,target,quartile,N,feature_min,feature_max,target_median,target_P25,target_P75
n_beds,static revenue,0,212,0.0,2.0,12279.1070375,8159.9375,18660.0
n_beds,static revenue,1,241,3.0,3.0,18000.0,10660.0,25620.0
n_beds,static revenue,2,156,4.0,4.0,17550.0,12581.5,28012.5
n_beds,static revenue,3,168,5.0,34.0,22759.0,14303.25,36425.0
n_beds,ADR,0,212,0.0,2.0,450.0,372.0,523.5
n_beds,ADR,1,241,3.0,3.0,590.0,438.0,715.0
n_beds,ADR,2,156,4.0,4.0,597.0,431.5,804.0
n_beds,ADR,3,168,5.0,34.0,650.0,450.0,899.0
n_beds,unavailability,0,212,0.0,2.0,0.3076923076923077,0.2087912087912088,0.5384615384615384
n_beds,unavailability,1,241,3.0,3.0,0.3846153846153846,0.2307692307692307,0.5604395604395604
n_beds,unavailability,2,156,4.0,4.0,0.39010989010989006,0.2307692307692307,0.6153846153846154
n_beds,unavailability,3,168,5.0,34.0,0.41208791208791207,0.2637362637362637,0.6071428571428571
n_guests,static revenue,0,227,2.0,5.0,12100.0,7591.0,17706.0
n_guests,static revenue,1,231,6.0,6.0,16895.0,10829.58345,24359.0
n_guests,static revenue,2,233,7.0,8.0,19250.0,12885.0,32300.0
n_guests,static revenue,3,86,9.0,16.0,27802.5,16587.5,47525.0
n_guests,ADR,0,227,2.0,5.0,431.4,350.0,523.0
n_guests,ADR,1,231,6.0,6.0,540.0,400.0,700.0
n_guests,ADR,2,233,7.0,8.0,610.0,455.0,800.0
n_guests,ADR,3,86,9.0,16.0,820.0,561.875,1200.0
n_guests,unavailability,0,227,2.0,5.0,0.3076923076923077,0.1978021978021978,0.5384615384615384
n_guests,unavailability,1,231,6.0,6.0,0.3736263736263736,0.2417582417582417,0.543956043956044
n_guests,unavailability,2,233,7.0,8.0,0.4065934065934066,0.2417582417582417,0.6153846153846154
n_guests,unavailability,3,86,9.0,16.0,0.423076923076923,0.2664835164835164,0.6373626373626373
n_bathrooms,static revenue,0,590,0.0,2.0,15355.0,9790.625,22902.5
n_bathrooms,static revenue,1,187,3.0,13.0,24500.0,15820.75,40589.0
n_bathrooms,ADR,0,590,0.0,2.0,485.875,380.0,633.0625
n_bathrooms,ADR,1,187,3.0,13.0,770.0,599.5,953.57145
n_bathrooms,unavailability,0,590,0.0,2.0,0.3626373626373626,0.2307692307692307,0.5714285714285714
n_bathrooms,unavailability,1,187,3.0,13.0,0.4065934065934066,0.2032967032967033,0.5989010989010989
n_bedrooms,static revenue,0,379,0.0,2.0,13177.5,8827.5,19285.0
n_bedrooms,static revenue,1,340,3.0,3.0,20000.0,13800.0,32776.25
n_bedrooms,static revenue,2,58,4.0,12.0,32755.0,22861.75,51528.0
n_bedrooms,ADR,0,379,0.0,2.0,448.5,350.0,550.0
n_bedrooms,ADR,1,340,3.0,3.0,650.0,500.0,807.5833250000001
n_bedrooms,ADR,2,58,4.0,12.0,973.0,775.0,1596.5
n_bedrooms,unavailability,0,379,0.0,2.0,0.3516483516483517,0.2197802197802197,0.5384615384615384
n_bedrooms,unavailability,1,340,3.0,3.0,0.3956043956043956,0.2527472527472527,0.6153846153846154
n_bedrooms,unavailability,2,58,4.0,12.0,0.4505494505494505,0.2005494505494505,0.6126373626373627
cleaning_fee,static revenue,0,274,0.0,200.0,13225.0,8921.25,21600.0
cleaning_fee,static revenue,1,178,210.0,250.0,17240.0,10808.25,25500.0
cleaning_fee,static revenue,2,161,260.0,300.0,18612.0,12870.0,31941.0
cleaning_fee,static revenue,3,164,310.0,700.0,19880.5,12068.5,33651.49865
cleaning_fee,ADR,0,274,0.0,200.0,450.0,350.0,563.5
cleaning_fee,ADR,1,178,210.0,250.0,504.5,417.375,653.75
cleaning_fee,ADR,2,161,260.0,300.0,600.0,450.0,750.0
cleaning_fee,ADR,3,164,310.0,700.0,700.0,531.249975,941.75
cleaning_fee,unavailability,0,274,0.0,200.0,0.3626373626373626,0.2307692307692307,0.5604395604395604
cleaning_fee,unavailability,1,178,210.0,250.0,0.39010989010989006,0.2417582417582417,0.5906593406593407
cleaning_fee,unavailability,2,161,260.0,300.0,0.4065934065934066,0.2417582417582417,0.6593406593406593
cleaning_fee,unavailability,3,164,310.0,700.0,0.3186813186813186,0.20604395604395603,0.5521978021978022
picture_count,static revenue,0,205,0.0,13.0,12000.0,8000.0,17700.0
picture_count,static revenue,1,186,14.0,21.0,16815.0,11592.5,25185.5
picture_count,static revenue,2,196,22.0,31.0,19410.0,11778.0,29032.7491
picture_count,static revenue,3,190,32.0,137.0,22799.0,14414.4,35800.0
picture_count,ADR,0,205,0.0,13.0,484.0,379.0,627.0
