airbnb_listing_id,listing_type,number_of_bedrooms,number_of_bathrooms,number_of_guests,number_of_beds,number_of_reviews,cleaning_fee,star_rating,suburb,star_rating_original,star_rating_clean,available_nights_H_30,available_nights_H_60,available_nights_H_91,mean_available_price_H_30,mean_available_price_H_60,mean_available_price_H_91,median_available_price_H_30,median_available_price_H_60,median_available_price_H_91,n_prices_observed_H_30,n_prices_observed_H_60,n_prices_observed_H_91,p25_price_H_30,p25_price_H_60,p25_price_H_91,p75_price_H_30,p75_price_H_60,p75_price_H_91,static_revenue_proxy_H_30,static_revenue_proxy_H_60,static_revenue_proxy_H_91,unavailability_rate_H_30,unavailability_rate_H_60,unavailability_rate_H_91,unavailable_nights_H_30,unavailable_nights_H_60,unavailable_nights_H_91,has_price_H_30,has_price_H_60,has_price_H_91,is_in_price_av_20jan,is_balanced_panel
1018938592594574382,apartamento,1,1.0,4,1,0,200.0,0.0,Centro,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
991407580891691701,apartamento,3,2.0,6,3,11,439.0,4.550000190734863,Meia Praia,4.550000190734863,4.550000190734863,0.0,24.0,55.0,,703.4375,641.9181818181818,,641.0,545.0,0.0,24.0,55.0,,545.0,509.0,,889.875,715.5,,23076.0,19620.0,1.0,0.6,0.3956043956043956,30.0,36.0,36.0,False,True,True,1,1
41074064,casa,3,2.0,7,4,6,180.0,5.0,Varzea,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
54177663,apartamento,3,2.0,6,3,0,300.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
51975323,apartamento,3,3.0,8,5,2,400.0,4.5,Meia Praia,4.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1036307719150120163,hotel,2,2.0,6,4,1,460.0,5.0,Meia Praia,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
41193865,apartamento,3,2.0,7,4,46,250.0,4.71999979019165,Meia Praia,4.71999979019165,4.71999979019165,5.0,19.0,50.0,449.5,413.0263157894737,405.8,465.0,400.0,400.0,5.0,19.0,50.0,400.0,400.0,400.0,482.5,400.0,400.0,11625.0,16400.0,16400.0,0.8333333333333334,0.6833333333333333,0.45054945054945056,25.0,41.0,41.0,True,True,True,1,1
1225665671183261027,apartamento,3,3.0,6,3,0,0.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
45894423,apartamento,3,4.0,8,6,1,300.0,5.0,Centro,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
21633529,casa,3,2.0,6,3,0,0.0,0.0,Canto da Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1048799886066100123,casa,3,2.0,10,7,5,300.0,5.0,Tabuleiro dos Oliveiras,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
760325801206777466,apartamento,3,2.0,8,3,0,300.0,0.0,Meia Praia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
1034199140186021598,casa,1,1.0,2,0,5,0.0,4.400000095367432,Sertaozinho,4.400000095367432,4.400000095367432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
