airbnb_listing_id,available_nights_H_30,available_nights_H_60,available_nights_H_91,gross_revenue_proxy_H_30,gross_revenue_proxy_H_60,gross_revenue_proxy_H_91,mean_available_price_H_30,mean_available_price_H_60,mean_available_price_H_91,median_available_price_H_30,median_available_price_H_60,median_available_price_H_91,n_prices_observed_H_30,n_prices_observed_H_60,n_prices_observed_H_91,p25_price_H_30,p25_price_H_60,p25_price_H_91,p75_price_H_30,p75_price_H_60,p75_price_H_91,revenue_proxy_per_night_H_30,revenue_proxy_per_night_H_60,revenue_proxy_per_night_H_91,unavailability_rate_H_30,unavailability_rate_H_60,unavailability_rate_H_91,unavailable_nights_H_30,unavailable_nights_H_60,unavailable_nights_H_91
1002341236260011015,6,23,54,8400.0,12950.0,12950.000000000002,366.6666666666667,354.3478260869565,351.85185185185185,350.0,350.0,350.0,6,23,54,350.0,350.0,350.0,387.5,350.0,350.0,280.0,215.83333333333334,142.30769230769232,0.8,0.6166666666666667,0.4065934065934066,24,37,37
1002785860497857801,4,34,65,16249.999999999998,14105.0,11388.0,623.75,537.7205882352941,494.5153846153846,625.0,542.5,438.0,4,34,65,548.75,500.0,438.0,700.0,570.0,545.0,541.6666666666666,235.08333333333334,125.14285714285714,0.8666666666666667,0.43333333333333335,0.2857142857142857,26,26,26
1004496327455456339,19,49,79,4179.999999999999,4191.0,4236.0,393.7105263157895,431.2448979591837,374.96835443037975,380.0,381.0,353.0,19,49,79,380.0,380.0,299.5,415.0,420.5,400.0,139.33333333333331,69.85,46.54945054945055,0.36666666666666664,0.18333333333333332,0.13186813186813187,11,11,12
1004910078575857573,12,19,19,13500.0,30750.0,54000.0,762.2916666666666,747.2368421052631,747.2368421052631,750.0,750.0,750.0,12,19,19,710.0,707.0,707.0,808.75,771.25,771.25,450.0,512.5,593.4065934065934,0.6,0.6833333333333333,0.7912087912087912,18,41,72
1005860682746801029,9,35,66,8588.999999999998,9700.000000000002,9625.0,415.6111111111111,404.72857142857146,396.1515151515151,409.0,388.0,385.0,9,35,66,408.0,385.0,385.0,422.5,408.5,395.625,286.29999999999995,161.66666666666669,105.76923076923077,0.7,0.4166666666666667,0.27472527472527475,21,25,25
1005958896607152946,22,42,53,2320.0,5220.0,9120.0,296.3636363636364,256.1904761904762,244.52830188679246,290.0,290.0,240.0,22,42,53,290.0,200.0,200.0,310.0,290.0,290.0,77.33333333333333,87.0,100.21978021978022,0.26666666666666666,0.3,0.4175824175824176,8,18,38
1006396584243125090,18,45,72,7920.0,9810.0,10431.0,695.0,647.1685177777778,556.2835638888888,660.0,654.0,549.0,18,45,72,654.0,575.3333,404.0,772.0,710.0,656.9375,264.0,163.5,114.62637362637363,0.4,0.25,0.2087912087912088,12,15,19
1008029204257210230,18,42,53,3540.0,5085.0,11333.5,286.6666666666667,287.33630999999997,298.41273622641506,295.0,282.5,298.25,18,42,53,270.0,273.75,276.25,300.0,300.0,315.83334,118.0,84.75,124.54395604395604,0.4,0.3,0.4175824175824176,12,18,38
1011115904222911872,13,39,67,11899.999999999998,14699.999999999998,16800.0,728.8461538461538,861.1752128205128,751.4601985074627,700.0,700.0,700.0,13,39,67,700.0,700.0,541.0,700.0,841.66665,755.41665,396.66666666666663,244.99999999999997,184.6153846153846,0.5666666666666667,0.35,0.26373626373626374,17,21,24
1011714999685071594,0,0,28,,,35091.0,,,556.0357142857143,,,557.0,0,0,28,,,557.0,,,557.0,,,385.6153846153846,1.0,1.0,0.6923076923076923,30,60,63
1014245162199655907,0,15,43,,27000.0,28800.0,,600.0,560.4651162790698,,600.0,600.0,0,15,43,,600.0,500.0,,600.0,600.0,,450.0,316.4835164835165,1.0,0.75,0.5274725274725275,30,45,48
1015691857467598452,14,44,55,15552.0,20736.0,46656.0,1018.2857142857143,1207.6363636363637,1225.3090909090909,972.0,1296.0,1296.0,14,44,55,972.0,972.0,1296.0,972.0,1296.0,1296.0,518.4,345.6,512.7032967032967,0.5333333333333333,0.26666666666666666,0.3956043956043956,16,16,36
1019453731090411731,9,35,66,9450.0,11250.0,9500.000000000002,450.0,443.75714285714287,413.81060606060606,450.0,450.0,380.0,9,35,66,450.0,374.91667,380.0,450.0,450.0,450.0,315.0,187.5,104.39560439560441,0.7,0.4166666666666667,0.27472527472527475,21,25,25
