N_listings,suburb,bedr,typ,net_pickup_value_proxy_sum,net_pickup_value_proxy_mean,net_pickup_value_proxy_median,net_pickup_value_proxy_p25,net_pickup_value_proxy_p75,net_transition_rate_sum,net_transition_rate_mean,net_transition_rate_median,net_transition_rate_p25,net_transition_rate_p75,net_pickup_nights_sum,net_pickup_nights_mean,net_pickup_nights_median,net_pickup_nights_p25,net_pickup_nights_p75,faixa_amostral
2,Canto da Praia,2,apartamento,16723.25,8361.625,8361.625,4180.8125,12542.4375,0.2597402597402597,0.12987012987012986,0.12987012987012986,0.06493506493506493,0.1948051948051948,20,10.0,10.0,5.0,15.0,critico_<5
1,Canto da Praia,3,apartamento,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,critico_<5
2,Casa Branca,2,apartamento,1150.0,575.0,575.0,287.5,862.5,0.05194805194805195,0.025974025974025976,0.025974025974025976,0.012987012987012988,0.03896103896103896,4,2.0,2.0,1.0,3.0,critico_<5
1,Casa Branca,3,apartamento,5165.0,5165.0,5165.0,5165.0,5165.0,0.07792207792207792,0.07792207792207792,0.07792207792207792,0.07792207792207792,0.07792207792207792,6,6.0,6.0,6.0,6.0,critico_<5
70,Centro,1,apartamento,245869.41676,3512.420239428571,3469.95835,861.5,6031.125,6.1558441558441555,0.08794063079777364,0.07792207792207792,0.025974025974025976,0.16558441558441558,474,6.771428571428571,6.0,2.0,12.75,grande_50+
50,Centro,2,apartamento,277760.1668,5555.2033360000005,3982.58335,0.0,9342.25,4.753246753246753,0.09506493506493506,0.08441558441558442,0.0,0.15584415584415584,366,7.32,6.5,0.0,12.0,grande_50+
33,Centro,3,apartamento,61119.3333,1852.101009090909,1850.0,0.0,4743.0,1.142857142857143,0.03463203463203464,0.025974025974025976,0.0,0.07792207792207792,88,2.6666666666666665,2.0,0.0,6.0,medio_20-49
1,Centro,4,apartamento,10100.0,10100.0,10100.0,10100.0,10100.0,0.22077922077922077,0.22077922077922077,0.22077922077922077,0.22077922077922077,0.22077922077922077,17,17.0,17.0,17.0,17.0,critico_<5
1,Centro,4,casa,7500.0,7500.0,7500.0,7500.0,7500.0,0.06493506493506493,0.06493506493506493,0.06493506493506493,0.06493506493506493,0.06493506493506493,5,5.0,5.0,5.0,5.0,critico_<5
1,Ilhota,4,casa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,critico_<5
4,Meia Praia,0,apartamento,20125.8333,5031.458325,6080.0,4537.5,6573.958325,0.45454545454545453,0.11363636363636363,0.12987012987012986,0.08766233766233766,0.15584415584415584,35,8.75,10.0,6.75,12.0,critico_<5
14,Meia Praia,1,apartamento,55825.5,3987.535714285714,4617.5,1225.5,7429.25,1.2857142857142854,0.09183673469387753,0.07792207792207792,0.01948051948051948,0.1590909090909091,99,7.071428571428571,6.0,1.5,12.25,pequeno_5-19
98,Meia Praia,2,apartamento,325853.66670999996,3325.037415408163,1541.91667,0.0,5560.0,6.701298701298701,0.06838059899284389,0.05194805194805195,0.0,0.11363636363636363,516,5.26530612244898,4.0,0.0,8.75,grande_50+
256,Meia Praia,3,apartamento,1071654.33308,4186.14973859375,2775.0,0.0,7877.5,17.90909090909091,0.06995738636363637,0.05194805194805195,0.0,0.12987012987012986,1379,5.38671875,4.0,0.0,10.0,grande_50+
32,Meia Praia,4,apartamento,138347.0002,4323.34375625,1319.5,0.0,7177.875,1.9480519480519478,0.06087662337662337,0.012987012987012988,0.0,0.11688311688311688,150,4.6875,1.0,0.0,9.0,medio_20-49
2,Morretes,1,apartamento,11603.0,5801.5,5801.5,2900.75,8702.25,0.2597402597402597,0.12987012987012986,0.12987012987012986,0.06493506493506493,0.1948051948051948,20,10.0,10.0,5.0,15.0,critico_<5
33,Morretes,2,apartamento,57320.5,1736.9848484848485,0.0,-250.0,3487.5,1.5844155844155845,0.048012593467138924,0.0,-0.012987012987012988,0.12987012987012986,122,3.696969696969697,0.0,-1.0,10.0,medio_20-49
6,Morretes,2,casa,17230.81666,2871.802776666667,2655.5,1564.0,4395.75,0.5194805194805194,0.08658008658008658,0.09090909090909091,0.012987012987012988,0.14935064935064934,40,6.666666666666667,7.0,1.0,11.5,pequeno_5-19
9,Morretes,3,apartamento,39539.5215,4393.280166666667,1166.0,0.0,8987.0,0.7402597402597402,0.08225108225108224,0.012987012987012988,0.0,0.11688311688311688,57,6.333333333333333,1.0,0.0,9.0,pequeno_5-19
1,Morretes,4,apartamento,-490.0,-490.0,-490.0,-490.0,-490.0,-0.012987012987012988,-0.012987012987012988,-0.012987012987012988,-0.012987012987012988,-0.012987012987012988,-1,-1.0,-1.0,-1.0,-1.0,critico_<5
2,Morretes,4,casa,-200.0,-100.0,-100.0,-4000.0,3800.0,0.05194805194805194,0.02597402597402597,0.02597402597402597,-0.03246753246753247,0.08441558441558442,4,2.0,2.0,-2.5,6.5,critico_<5
1,Sertao do Trombudo,4,casa,8000.0,8000.0,8000.0,8000.0,8000.0,0.05194805194805195,0.05194805194805195,0.05194805194805195,0.05194805194805195,0.05194805194805195,4,4.0,4.0,4.0,4.0,critico_<5
7,Tabuleiro dos Oliveiras,2,apartamento,41861.0,5980.142857142857,2495.0,700.0,11715.5,0.8831168831168831,0.1261595547309833,0.06493506493506493,0.012987012987012988,0.24025974025974026,68,9.714285714285714,5.0,1.0,18.5,pequeno_5-19
2,Tabuleiro dos Oliveiras,3,apartamento,10159.0,5079.5,5079.5,3514.25,6644.75,0.15584415584415584,0.07792207792207792,0.07792207792207792,0.05844155844155844,0.09740259740259741,12,6.0,6.0,4.5,7.5,critico_<5
1,Tabuleiro dos Oliveiras,4,casa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,critico_<5
