suburb_canonical,bedrooms,listing_type,N_sale,median_sale_price,mean_sale_price,p25_sale_price,p75_sale_price,median_usable_area,median_price_per_m2,median_monthly_condo_fee,missing_rate_condo,median_yearly_iptu,missing_rate_iptu,faixa_vivareal
Alto São Bento,0,comercial,2,499820.0,499820.0,424230.0,575410.0,47.0,10385.777777777777,159.5,0.0,508.0,0.5,critico_<5
Alto São Bento,0,terreno,13,750000.0,954230.7692307692,390000.0,1100000.0,552.0,1181.8181818181818,0.0,0.3076923076923077,0.0,0.23076923076923078,pequeno_5-19
Alto São Bento,2,apartamento,35,618710.0,614482.0857142857,549000.0,676445.0,65.0,9384.057971014492,1.0,0.4,0.0,0.2571428571428571,medio_20-49
Alto São Bento,2,casa,10,599445.0,704441.0,520000.0,624552.5,87.5,7480.292832167832,1.0,0.4,767.5,0.4,pequeno_5-19
Alto São Bento,3,casa,5,690000.0,851000.0,685000.0,1050000.0,95.0,7324.84076433121,0.0,0.2,0.0,0.8,pequeno_5-19
Alto São Bento,6,casa,1,1000000.0,1000000.0,1000000.0,1000000.0,150.0,6666.666666666667,,1.0,0.0,0.0,critico_<5
Andorinha,0,comercial,8,3145000.0,5213362.5,1537500.0,5650772.5,112.0,16756.64794007491,1.0,0.375,1825.0,0.25,pequeno_5-19
Andorinha,0,terreno,1,2197000.0,2197000.0,2197000.0,2197000.0,300.0,7323.333333333333,,1.0,,1.0,critico_<5
Andorinha,1,apartamento,8,679500.0,680052.5,641703.0,711906.0,43.0,14735.023255813954,0.0,0.125,0.0,0.125,pequeno_5-19
Andorinha,1,casa,1,2500000.0,2500000.0,2500000.0,2500000.0,100.0,25000.0,,1.0,,1.0,critico_<5
Andorinha,1,comercial,4,1489525.0,1937057.5,1461710.0,1964872.5,93.0,18164.939024390245,350.0,0.25,1200.0,0.25,critico_<5
Andorinha,2,apartamento,68,983071.0,996345.5294117647,849807.5,1130853.75,83.0,11265.098039215685,461.0,0.22058823529411764,521.5,0.3235294117647059,grande_50+
Andorinha,2,casa,3,590000.0,590000.0,590000.0,590000.0,89.0,6629.213483146067,0.0,0.0,900.0,0.0,critico_<5
Andorinha,3,apartamento,471,1700000.0,1763299.2484076433,1450000.0,1990000.0,122.0,13743.75,490.0,0.26963906581740976,784.0,0.34394904458598724,grande_50+
Andorinha,3,casa,3,1450000.0,1558386.6666666667,1438000.0,1624580.0,124.0,12851.142857142857,0.0,0.0,1450.0,0.3333333333333333,critico_<5
Andorinha,3,comercial,1,1345000.0,1345000.0,1345000.0,1345000.0,120.0,11208.333333333334,0.0,0.0,0.0,0.0,critico_<5
Andorinha,4,apartamento,196,2750000.0,3117614.6326530613,2298390.0,3598762.5,182.0,15220.439691027927,550.0,0.3010204081632653,175.0,0.29591836734693877,grande_50+
Andorinha,4,casa,2,18370000.0,18370000.0,18370000.0,18370000.0,812.0,22623.18702101941,905.0,0.0,0.0,0.0,critico_<5
Andorinha,5,apartamento,10,4449425.0,6114709.3,4114010.75,8166781.0,300.0,15583.036904761904,1200.0,0.3,4250.0,0.2,pequeno_5-19
Andorinha,6,apartamento,2,9878830.0,9878830.0,9878830.0,9878830.0,300.0,32929.433333333334,0.0,0.0,0.0,0.5,critico_<5
Andorinha,7,apartamento,1,10000.0,10000.0,10000.0,10000.0,437.0,22.88329519450801,10.0,0.0,100.0,0.0,critico_<5
Canto da Praia,0,terreno,1,39499800.0,39499800.0,39499800.0,39499800.0,3400.0,11617.588235294117,0.0,0.0,0.0,0.0,critico_<5
