horizon,suburb,number_of_bedrooms,listing_type,N_total,N_com_proxy,ADR_median,ADR_mean,ADR_p25,ADR_p75,unavailability_median,unavailability_mean,unavailability_p25,unavailability_p75,static_rev_median,static_rev_mean,static_rev_p25,static_rev_p75,faixa_amostral
30,Alto Sao Bento,1,apartamento,1,1,325.0,325.0,325.0,325.0,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,7150.0,7150.0,7150.0,7150.0,critico_<5
30,Alto Sao Bento,2,apartamento,1,0,,,,,,,,,,,,,critico_<5
30,Alto Sao Bento,12,casa,1,1,2500.0,2500.0,2500.0,2500.0,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667,42500.0,42500.0,42500.0,42500.0,critico_<5
30,Areal,1,casa,1,1,556.0,556.0,556.0,556.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,4448.0,4448.0,4448.0,4448.0,critico_<5
30,Canto da Praia,2,apartamento,4,3,518.0,560.1111133333334,502.66667,596.5,0.3,0.35555555555555557,0.25,0.43333333333333335,4386.00006,6323.0000199999995,3747.00003,7930.50003,critico_<5
30,Canto da Praia,3,apartamento,1,1,425.0,425.0,425.0,425.0,0.9,0.9,0.9,0.9,11475.0,11475.0,11475.0,11475.0,critico_<5
30,Casa Branca,1,casa,1,1,300.0,300.0,300.0,300.0,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335,3900.0,3900.0,3900.0,3900.0,critico_<5
30,Casa Branca,2,apartamento,4,4,283.0,308.75,274.5,317.25,0.5,0.5416666666666666,0.26666666666666666,0.7749999999999999,4805.0,5149.0,2292.0,7662.0,critico_<5
30,Casa Branca,3,apartamento,2,2,440.5,440.5,410.75,470.25,0.5333333333333333,0.5333333333333333,0.4333333333333333,0.6333333333333333,6691.0,6691.0,5845.5,7536.5,critico_<5
30,Centro,1,apartamento,75,69,519.0,514.7101449275362,385.0,615.0,0.7,0.6328502415458935,0.5333333333333333,0.8,8844.0,9253.95652173913,6940.0,11664.0,grande_50+
30,Centro,1,casa,1,1,283.0,283.0,283.0,283.0,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,5377.0,5377.0,5377.0,5377.0,critico_<5
30,Centro,1,outros,3,3,200.0,222.66666666666666,184.0,250.0,0.6333333333333333,0.48888888888888893,0.35,0.7,3192.0,2797.3333333333335,1896.0,3896.0,critico_<5
30,Centro,2,apartamento,59,49,713.0,704.1802722448979,539.0,800.5,0.6666666666666666,0.5959183673469388,0.4,0.8333333333333334,11550.0,11515.210887346939,8000.0,15390.0,grande_50+
30,Centro,2,casa,1,0,,,,,,,,,,,,,critico_<5
30,Centro,3,apartamento,38,28,805.0,859.0318875,653.9375,1003.75,0.6833333333333333,0.6107142857142858,0.3583333333333333,0.8416666666666667,15398.0,15212.783160714287,9049.821375,20857.5,medio_20-49
30,Centro,4,apartamento,1,1,858.0,858.0,858.0,858.0,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,18876.0,18876.0,18876.0,18876.0,critico_<5
30,Centro,4,casa,2,1,2100.0,2100.0,2100.0,2100.0,0.2,0.2,0.2,0.2,12600.0,12600.0,12600.0,12600.0,critico_<5
30,Ilhota,1,apartamento,2,2,332.5,332.5,323.75,341.25,0.25,0.25,0.19166666666666665,0.3083333333333333,2432.5,2432.5,1916.25,2948.75,critico_<5
30,Ilhota,2,apartamento,1,1,585.0,585.0,585.0,585.0,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,12870.0,12870.0,12870.0,12870.0,critico_<5
30,Ilhota,2,casa,1,0,,,,,,,,,,,,,critico_<5
30,Ilhota,3,casa,2,2,597.5,597.5,546.25,648.75,0.3833333333333333,0.3833333333333333,0.35833333333333334,0.4083333333333333,6717.5,6717.5,6576.25,6858.75,critico_<5
30,Ilhota,4,casa,1,1,946.0,946.0,946.0,946.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,critico_<5
30,Meia Praia,0,apartamento,7,6,490.0,499.38888833333334,436.875,545.0,0.5666666666666667,0.5166666666666667,0.3333333333333333,0.6749999999999999,7235.6666399999995,7026.8888799999995,4435.33332,9787.5,pequeno_5-19
30,Meia Praia,1,apartamento,16,16,500.0,512.28125,424.375,584.75,0.7833333333333333,0.7354166666666667,0.5916666666666667,0.875,11183.25,11121.90625,9367.5,12912.75,pequeno_5-19
30,Meia Praia,1,casa,1,1,195.0,195.0,195.0,195.0,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,3705.0,3705.0,3705.0,3705.0,critico_<5
30,Meia Praia,1,outros,3,3,170.0,190.0,160.0,210.0,0.13333333333333333,0.35555555555555557,0.08333333333333333,0.5166666666666666,680.0,1660.0,465.0,2365.0,critico_<5
30,Meia Praia,2,apartamento,126,98,550.0,566.5596454081633,476.25,650.0,0.7333333333333333,0.6704081632653062,0.5666666666666667,0.8333333333333334,11010.0,11172.999148979594,8652.5,14125.0,grande_50+
30,Meia Praia,2,outros,1,1,90.0,90.0,90.0,90.0,0.8,0.8,0.8,0.8,2160.0,2160.0,2160.0,2160.0,critico_<5
30,Meia Praia,3,apartamento,284,226,790.0,808.6716449115045,650.0,935.0,0.6666666666666666,0.5973451327433629,0.4,0.8333333333333334,14275.0,13934.71461061947,9797.375,18000.0,grande_50+
30,Meia Praia,4,apartamento,43,37,1200.0,1312.851354054054,950.0,1690.3334,0.6666666666666666,0.581081081081081,0.3,0.8666666666666667,20965.0,20307.351364864862,15552.0,26400.0,medio_20-49
30,Meia Praia,4,casa,1,1,600.0,600.0,600.0,600.0,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,15600.0,15600.0,15600.0,15600.0,critico_<5
30,Meia Praia,5,apartamento,1,0,,,,,,,,,,,,,critico_<5
30,Morretes,1,apartamento,3,3,400.0,450.0,375.0,500.0,0.8666666666666667,0.7888888888888889,0.7333333333333334,0.8833333333333333,10400.0,10966.666666666666,8350.0,13300.0,critico_<5
30,Morretes,2,apartamento,43,39,498.0,519.5384615384615,399.0,590.0,0.6666666666666666,0.6017094017094017,0.43333333333333335,0.8166666666666667,9100.0,9195.038461538461,6336.0,11775.0,medio_20-49
30,Morretes,2,casa,8,5,330.0,370.8,299.0,450.0,0.4666666666666667,0.5666666666666667,0.4,0.8,4620.0,6814.2,3540.0,11520.0,pequeno_5-19
30,Morretes,3,apartamento,9,6,830.25,837.1666666666666,612.5,1027.0,0.8333333333333334,0.7277777777777777,0.65,0.8916666666666667,15500.0,17760.583333333332,12625.0,24362.625,pequeno_5-19
30,Morretes,4,apartamento,1,1,1490.0,1490.0,1490.0,1490.0,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,34270.0,34270.0,34270.0,34270.0,critico_<5
30,Morretes,4,casa,2,1,1500.0,1500.0,1500.0,1500.0,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,28500.0,28500.0,28500.0,28500.0,critico_<5
30,Sertao do Trombudo,1,casa,2,2,380.0,380.0,375.0,385.0,0.31666666666666665,0.31666666666666665,0.24166666666666667,0.39166666666666666,3565.0,3565.0,2757.5,4372.5,critico_<5
30,Sertao do Trombudo,4,casa,1,1,1300.0,1300.0,1300.0,1300.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,26000.0,26000.0,26000.0,26000.0,critico_<5
30,Sertaozinho,2,casa,1,1,450.0,450.0,450.0,450.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,2250.0,2250.0,2250.0,2250.0,critico_<5
30,Sertaozinho,6,casa,2,2,2537.5,2537.5,2056.25,3018.75,0.16666666666666669,0.16666666666666669,0.13333333333333333,0.2,10762.5,10762.5,10631.25,10893.75,critico_<5
30,Tabuleiro dos Oliveiras,2,apartamento,12,12,498.75,521.0555583333334,398.5,642.5,0.55,0.6166666666666666,0.45833333333333337,0.875,7614.00015,9269.375025,6669.25,11549.25,pequeno_5-19
30,Tabuleiro dos Oliveiras,3,apartamento,3,3,703.0,681.8333333333334,657.0,717.25,0.43333333333333335,0.4222222222222222,0.31666666666666665,0.5333333333333333,7943.0,8563.0,6166.0,10650.0,critico_<5
30,Tabuleiro dos Oliveiras,4,casa,1,1,1900.0,1900.0,1900.0,1900.0,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,26600.0,26600.0,26600.0,26600.0,critico_<5
30,Varzea,1,casa,1,1,450.0,450.0,450.0,450.0,0.7,0.7,0.7,0.7,9450.0,9450.0,9450.0,9450.0,critico_<5
30,Varzea,3,casa,1,1,700.0,700.0,700.0,700.0,0.6,0.6,0.6,0.6,12600.0,12600.0,12600.0,12600.0,critico_<5
30,Varzea,5,casa,1,1,1500.0,1500.0,1500.0,1500.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,1500.0,1500.0,1500.0,1500.0,critico_<5
60,Alto Sao Bento,1,apartamento,1,1,302.5,302.5,302.5,302.5,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,8470.0,8470.0,8470.0,8470.0,critico_<5
60,Alto Sao Bento,2,apartamento,1,1,179.0,179.0,179.0,179.0,0.7166666666666667,0.7166666666666667,0.7166666666666667,0.7166666666666667,7697.0,7697.0,7697.0,7697.0,critico_<5
60,Alto Sao Bento,12,casa,1,1,2500.0,2500.0,2500.0,2500.0,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335,65000.0,65000.0,65000.0,65000.0,critico_<5
60,Areal,1,casa,1,1,556.0,556.0,556.0,556.0,0.38333333333333336,0.38333333333333336,0.38333333333333336,0.38333333333333336,12788.0,12788.0,12788.0,12788.0,critico_<5
60,Canto da Praia,2,apartamento,4,4,509.0,528.291665,498.91666499999997,538.375,0.35833333333333334,0.41250000000000003,0.2375,0.5333333333333333,12006.66661,13030.333305,7096.749915,17940.25,critico_<5
60,Canto da Praia,3,apartamento,1,1,350.0,350.0,350.0,350.0,0.9,0.9,0.9,0.9,18900.0,18900.0,18900.0,18900.0,critico_<5
60,Casa Branca,1,casa,1,1,300.0,300.0,300.0,300.0,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.21666666666666667,3900.0,3900.0,3900.0,3900.0,critico_<5
60,Casa Branca,2,apartamento,4,4,271.0,295.25,249.0,317.25,0.35833333333333334,0.3541666666666667,0.2583333333333333,0.45416666666666666,6690.0,6342.75,4419.0,8613.75,critico_<5
60,Casa Branca,3,apartamento,2,2,425.0,425.0,387.5,462.5,0.375,0.375,0.3625,0.3875,9450.0,9450.0,8925.0,9975.0,critico_<5
60,Centro,1,apartamento,75,73,500.0,514.3527397260274,390.5,600.0,0.38333333333333336,0.4178082191780822,0.2833333333333333,0.48333333333333334,10934.0,12083.952054794521,8148.0,15672.0,grande_50+
60,Centro,1,casa,1,1,283.0,283.0,283.0,283.0,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,13867.0,13867.0,13867.0,13867.0,critico_<5
