N_listings,suburb,ADR_median,ADR_mean,ADR_p25,ADR_p75,unavailability_median,unavailability_mean,unavailability_p25,unavailability_p75,rev_proxy_median,rev_proxy_mean,rev_proxy_p25,rev_proxy_p75,confianca_amostral
3,Alto Sao Bento,280.0,993.0,239.5,1390.0,0.31868131868131866,0.36630036630036633,0.3131868131868132,0.3956043956043956,8557.0,29632.333333333332,8198.5,40528.5,muito_baixa
1,Areal,556.0,556.0,556.0,556.0,0.5934065934065934,0.5934065934065934,0.5934065934065934,0.5934065934065934,30024.0,30024.0,30024.0,30024.0,muito_baixa
5,Canto da Praia,500.0,477.525,479.0,518.0,0.3516483516483517,0.5010989010989011,0.2857142857142857,0.6923076923076923,15328.000000000002,20766.875,15157.999999999998,19380.375,baixa
7,Casa Branca,300.0,312.85714285714283,260.0,327.5,0.38461538461538464,0.3579277864992151,0.3131868131868132,0.4560439560439561,9120.0,10619.142857142857,7434.5,12802.5,baixa
180,Centro,496.5,557.0839681944444,384.75,630.0,0.3076923076923077,0.35451770451770453,0.1978021978021978,0.48626373626373626,13185.375,17412.895415138886,8962.5,21570.0,alta
7,Ilhota,490.0,517.4285714285714,345.5,642.5,0.18681318681318682,0.2653061224489796,0.11538461538461539,0.35714285714285715,8330.0,12435.57142857143,5375.5,12945.0,baixa
483,Meia Praia,586.0,646.6702649171843,440.0,800.0,0.4065934065934066,0.4336450299183218,0.25274725274725274,0.6153846153846154,19200.0,24126.407015351964,12530.0,29265.0,alta
3,Missing/Unknown,786.6667,734.2222333333333,701.33335,793.33335,0.0989010989010989,0.10256410256410255,0.08241758241758242,0.12087912087912087,5544.0,6888.0000666666665,5132.000099999999,7972.0,muito_baixa
66,Morretes,464.0,653.8989892424242,350.75,598.5,0.3901098901098901,0.4154179154179154,0.23076923076923078,0.5796703296703297,15607.5,31384.688118939393,9718.75,21675.0,alta
3,Sertao do Trombudo,390.0,586.6666666666666,380.0,695.0,0.17582417582417584,0.2820512820512821,0.12637362637362637,0.38461538461538464,5920.000000000001,20883.333333333332,4325.0,29960.0,muito_baixa
3,Sertaozinho,1662.5,1887.5,1081.25,2581.25,0.07692307692307693,0.09523809523809523,0.06593406593406594,0.11538461538461539,23275.0,16758.333333333332,12887.5,23887.5,muito_baixa
16,Tabuleiro dos Oliveiras,509.0,562.78125,395.25,645.5,0.31868131868131866,0.3626373626373626,0.18406593406593405,0.510989010989011,12515.0,16125.5,7035.499999999999,22862.5,baixa
3,Varzea,700.0,883.3333333333334,575.0,1100.0,0.8021978021978022,0.5750915750915752,0.4120879120879121,0.8516483516483517,36900.0,30333.333333333332,19950.0,44000.0,muito_baixa
