N_listings,suburb,number_of_bedrooms,listing_type,ADR_median,ADR_mean,ADR_p25,ADR_p75,unavailability_median,unavailability_mean,unavailability_p25,unavailability_p75,rev_proxy_median,rev_proxy_mean,rev_proxy_p25,rev_proxy_p75,confianca_amostral
1,Alto Sao Bento,1.0,apartamento,280.0,280.0,280.0,280.0,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,7840.000000000001,7840.000000000001,7840.000000000001,7840.000000000001,muito_baixa
1,Alto Sao Bento,2.0,apartamento,199.0,199.0,199.0,199.0,0.4725274725274725,0.4725274725274725,0.4725274725274725,0.4725274725274725,8557.0,8557.0,8557.0,8557.0,muito_baixa
1,Alto Sao Bento,12.0,casa,2500.0,2500.0,2500.0,2500.0,0.31868131868131866,0.31868131868131866,0.31868131868131866,0.31868131868131866,72500.0,72500.0,72500.0,72500.0,muito_baixa
1,Areal,1.0,casa,556.0,556.0,556.0,556.0,0.5934065934065934,0.5934065934065934,0.5934065934065934,0.5934065934065934,30024.0,30024.0,30024.0,30024.0,muito_baixa
4,Canto da Praia,2.0,apartamento,509.0,520.0,494.75,534.25,0.31868131868131866,0.45329670329670324,0.2857142857142857,0.48626373626373626,15243.0,21113.5,14735.499999999998,21621.0,muito_baixa
1,Canto da Praia,3.0,apartamento,307.625,307.625,307.625,307.625,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,19380.375,19380.375,19380.375,19380.375,muito_baixa
1,Casa Branca,1.0,casa,300.0,300.0,300.0,300.0,0.3626373626373626,0.3626373626373626,0.3626373626373626,0.3626373626373626,9900.0,9900.0,9900.0,9900.0,muito_baixa
4,Casa Branca,2.0,apartamento,260.0,271.0,233.75,297.25,0.4010989010989011,0.34615384615384615,0.31043956043956045,0.4368131868131868,8322.5,8647.5,6203.75,10766.25,muito_baixa
2,Casa Branca,3.0,apartamento,403.0,403.0,354.5,451.5,0.3791208791208791,0.3791208791208791,0.32142857142857145,0.4368131868131868,14922.0,14922.0,11133.0,18711.0,muito_baixa
75,Centro,1.0,apartamento,450.0,448.1585076666666,378.25,497.0,0.26373626373626374,0.29758241758241755,0.1923076923076923,0.34615384615384615,10416.0,11400.615519,7592.5,13188.000000000002,alta
1,Centro,1.0,casa,283.0,283.0,283.0,283.0,0.8791208791208791,0.8791208791208791,0.8791208791208791,0.8791208791208791,22640.0,22640.0,22640.0,22640.0,muito_baixa
3,Centro,1.0,outros,179.0,209.66666666666666,164.5,239.5,0.3516483516483517,0.380952380952381,0.2802197802197802,0.46703296703296704,4800.0,8033.666666666667,4100.5,10350.0,muito_baixa
59,Centro,2.0,apartamento,600.0,612.2980220338983,399.0,682.0,0.32967032967032966,0.35425591357794745,0.18681318681318682,0.5,15000.000000000002,18036.87426779661,9975.0,20016.0,alta
1,Centro,2.0,casa,250.0,250.0,250.0,250.0,0.5824175824175825,0.5824175824175825,0.5824175824175825,0.5824175824175825,13250.000000000002,13250.000000000002,13250.000000000002,13250.000000000002,muito_baixa
38,Centro,3.0,apartamento,664.0,687.5169184210527,500.0,832.75,0.36813186813186816,0.43406593406593413,0.28296703296703296,0.6401098901098901,24369.0,27608.116552631578,12959.4375,38384.625,media
1,Centro,4.0,apartamento,450.0,450.0,450.0,450.0,0.7912087912087912,0.7912087912087912,0.7912087912087912,0.7912087912087912,32400.0,32400.0,32400.0,32400.0,muito_baixa
2,Centro,4.0,casa,1400.0,1400.0,1200.0,1600.0,0.3516483516483516,0.3516483516483516,0.24175824175824176,0.4615384615384615,36800.0,36800.0,29200.0,44400.0,muito_baixa
2,Ilhota,1.0,apartamento,345.5,345.5,343.25,347.75,0.08241758241758242,0.08241758241758242,0.06318681318681318,0.10164835164835165,2575.5,2575.5,1987.75,3163.25,muito_baixa
1,Ilhota,2.0,apartamento,585.0,585.0,585.0,585.0,0.24175824175824176,0.24175824175824176,0.24175824175824176,0.24175824175824176,12869.999999999998,12869.999999999998,12869.999999999998,12869.999999999998,muito_baixa
1,Ilhota,2.0,casa,210.0,210.0,210.0,210.0,0.6813186813186813,0.6813186813186813,0.6813186813186813,0.6813186813186813,13020.000000000002,13020.000000000002,13020.000000000002,13020.000000000002,muito_baixa
2,Ilhota,3.0,casa,595.0,595.0,542.5,647.5,0.14835164835164835,0.14835164835164835,0.1291208791208791,0.1675824175824176,7665.0,7665.0,7332.5,7997.5,muito_baixa
