N_listings,suburb,number_of_bedrooms,ADR_median,ADR_mean,ADR_p25,ADR_p75,unavailability_median,unavailability_mean,unavailability_p25,unavailability_p75,rev_proxy_median,rev_proxy_mean,rev_proxy_p25,rev_proxy_p75,confianca_amostral
1,Alto Sao Bento,1.0,280.0,280.0,280.0,280.0,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,7840.000000000001,7840.000000000001,7840.000000000001,7840.000000000001,muito_baixa
1,Alto Sao Bento,2.0,199.0,199.0,199.0,199.0,0.4725274725274725,0.4725274725274725,0.4725274725274725,0.4725274725274725,8557.0,8557.0,8557.0,8557.0,muito_baixa
1,Alto Sao Bento,12.0,2500.0,2500.0,2500.0,2500.0,0.31868131868131866,0.31868131868131866,0.31868131868131866,0.31868131868131866,72500.0,72500.0,72500.0,72500.0,muito_baixa
1,Areal,1.0,556.0,556.0,556.0,556.0,0.5934065934065934,0.5934065934065934,0.5934065934065934,0.5934065934065934,30024.0,30024.0,30024.0,30024.0,muito_baixa
4,Canto da Praia,2.0,509.0,520.0,494.75,534.25,0.31868131868131866,0.45329670329670324,0.2857142857142857,0.48626373626373626,15243.0,21113.5,14735.499999999998,21621.0,muito_baixa
1,Canto da Praia,3.0,307.625,307.625,307.625,307.625,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,19380.375,19380.375,19380.375,19380.375,muito_baixa
1,Casa Branca,1.0,300.0,300.0,300.0,300.0,0.3626373626373626,0.3626373626373626,0.3626373626373626,0.3626373626373626,9900.0,9900.0,9900.0,9900.0,muito_baixa
4,Casa Branca,2.0,260.0,271.0,233.75,297.25,0.4010989010989011,0.34615384615384615,0.31043956043956045,0.4368131868131868,8322.5,8647.5,6203.75,10766.25,muito_baixa
2,Casa Branca,3.0,403.0,403.0,354.5,451.5,0.3791208791208791,0.3791208791208791,0.32142857142857145,0.4368131868131868,14922.0,14922.0,11133.0,18711.0,muito_baixa
79,Centro,1.0,431.4,437.01124145569617,372.0,495.0,0.26373626373626374,0.30810961190708025,0.1978021978021978,0.35714285714285715,10416.0,11415.027391455696,7372.0,13423.5,alta
60,Centro,2.0,591.66665,606.2597216666667,391.75,673.5,0.32967032967032966,0.35805860805860795,0.18681318681318682,0.5054945054945055,14925.0,17957.09303,9975.000000000002,19944.0,alta
38,Centro,3.0,664.0,687.5169184210527,500.0,832.75,0.36813186813186816,0.43406593406593413,0.28296703296703296,0.6401098901098901,24369.0,27608.116552631578,12959.4375,38384.625,media
3,Centro,4.0,1000.0,1083.3333333333333,725.0,1400.0,0.5714285714285714,0.4981684981684982,0.3516483516483516,0.6813186813186813,32400.0,35333.333333333336,27000.0,42200.0,muito_baixa
2,Ilhota,1.0,345.5,345.5,343.25,347.75,0.08241758241758242,0.08241758241758242,0.06318681318681318,0.10164835164835165,2575.5,2575.5,1987.75,3163.25,muito_baixa
2,Ilhota,2.0,397.5,397.5,303.75,491.25,0.46153846153846156,0.46153846153846156,0.3516483516483516,0.5714285714285714,12945.0,12945.0,12907.5,12982.5,muito_baixa
2,Ilhota,3.0,595.0,595.0,542.5,647.5,0.14835164835164835,0.14835164835164835,0.1291208791208791,0.1675824175824176,7665.0,7665.0,7332.5,7997.5,muito_baixa
1,Ilhota,4.0,946.0,946.0,946.0,946.0,0.4725274725274725,0.4725274725274725,0.4725274725274725,0.4725274725274725,40678.0,40678.0,40678.0,40678.0,muito_baixa
7,Meia Praia,0.0,380.0,412.6857142857143,315.4,515.0,0.3076923076923077,0.3186813186813187,0.2087912087912088,0.4505494505494505,9262.400000000001,10664.342857142856,6749.0,12550.0,baixa
20,Meia Praia,1.0,400.0,399.675,322.5,502.25,0.32417582417582413,0.3587912087912088,0.22252747252747254,0.5137362637362637,11839.0,12999.825,8416.5,18420.0,media
127,Meia Praia,2.0,446.0,448.6971317322835,350.0,550.0,0.42857142857142855,0.4534913904992645,0.2857142857142857,0.6263736263736264,15900.000000000002,17709.7199988189,10470.0,22450.0,alta
284,Meia Praia,3.0,650.0,684.8007122359155,500.0,816.499975,0.4065934065934066,0.4329825104472992,0.25274725274725274,0.6071428571428571,20000.0,26064.976816602113,14365.75,32303.125,alta
44,Meia Praia,4.0,886.5,1115.7159079545454,700.0,1518.5,0.4505494505494505,0.4240759240759241,0.22802197802197802,0.6181318681318682,31544.5,36348.178014772726,21663.25,49123.5,media
1,Meia Praia,5.0,900.0,900.0,900.0,900.0,0.8241758241758241,0.8241758241758241,0.8241758241758241,0.8241758241758241,67500.0,67500.0,67500.0,67500.0,muito_baixa
3,Missing/Unknown,Missing/Unknown,786.6667,734.2222333333333,701.33335,793.33335,0.0989010989010989,0.10256410256410255,0.08241758241758242,0.12087912087912087,5544.0,6888.0000666666665,5132.000099999999,7972.0,muito_baixa
3,Morretes,1.0,400.0,410.0,375.0,440.0,0.8681318681318682,0.717948717948718,0.6318681318681318,0.8791208791208791,27650.000000000004,25776.666666666668,22465.0,30025.0,muito_baixa
51,Morretes,2.0,440.0,639.4444439215687,338.5,532.5,0.3516483516483517,0.37599655246714064,0.19780219780219782,0.532967032967033,12950.000000000002,30532.749994117647,7978.75,17900.5,alta
9,Morretes,3.0,650.0,725.0740722222222,550.0,1010.5,0.3956043956043956,0.4713064713064713,0.27472527472527475,0.6703296703296703,20000.0,30309.90735,19287.16615,27250.000000000004,baixa
3,Morretes,4.0,1000.0,930.0,795.0,1100.0,0.5494505494505495,0.6153846153846154,0.46703296703296704,0.7307692307692308,35000.0,54700.0,32250.0,67300.0,muito_baixa
