suburb_low,N,ADR,unav,rev,dim,snapshot,bedr,listing_type,faixa_amostral
alto sao bento,1,400.0,0.5274725274725275,19200.0,suburb_low,2025-01-06,,,critico_<5
canto da praia,5,600.0,0.26373626373626374,15000.0,suburb_low,2025-01-06,,,pequeno_5-19
casa branca,9,350.0,0.37362637362637363,11270.0,suburb_low,2025-01-06,,,pequeno_5-19
centro,168,601.0,0.3516483516483517,17491.25,suburb_low,2025-01-06,,,grande_50+
ilhota,2,782.5,0.3076923076923077,23835.0,suburb_low,2025-01-06,,,critico_<5
leopoldo zarling,1,200.0,0.23076923076923078,4200.0,suburb_low,2025-01-06,,,critico_<5
meia praia,482,650.0,0.46153846153846156,23831.3,suburb_low,2025-01-06,,,grande_50+
missing/unknown,2,702.0,0.4010989010989011,19664.0,suburb_low,2025-01-06,,,critico_<5
morretes,66,500.0,0.4065934065934066,17783.33356,suburb_low,2025-01-06,,,grande_50+
none,3,709.0,0.42857142857142855,27651.0,suburb_low,2025-01-06,,,critico_<5
sertao do trombudo,1,1300.0,0.6373626373626373,75400.0,suburb_low,2025-01-06,,,critico_<5
sertaozinho,2,434.5,0.10989010989010989,4148.5,suburb_low,2025-01-06,,,critico_<5
tabuleiro dos oliveiras,11,610.0,0.4065934065934066,17832.0,suburb_low,2025-01-06,,,pequeno_5-19
,2,702.0,0.4010989010989011,19664.0,bedrooms,2025-01-06,-1.0,,critico_<5
,5,550.0,0.45054945054945056,13950.0,bedrooms,2025-01-06,0.0,,pequeno_5-19
,106,438.5,0.32417582417582413,13913.0,bedrooms,2025-01-06,1.0,,grande_50+
,241,500.0,0.42857142857142855,18150.0,bedrooms,2025-01-06,2.0,,grande_50+
,343,700.0,0.45054945054945056,25500.0,bedrooms,2025-01-06,3.0,,grande_50+
,53,1000.0,0.42857142857142855,39800.0,bedrooms,2025-01-06,4.0,,grande_50+
,3,2100.0,0.6483516483516484,130200.0,bedrooms,2025-01-06,5.0,,critico_<5
alto sao bento,1,400.0,0.5274725274725275,19200.0,full,2025-01-06,1.0,casa,critico_<5
canto da praia,2,634.0,0.25274725274725274,14234.0,full,2025-01-06,2.0,apartamento,critico_<5
canto da praia,1,300.0,0.7802197802197802,21300.0,full,2025-01-06,3.0,apartamento,critico_<5
canto da praia,2,700.0,0.17032967032967034,11700.0,full,2025-01-06,3.0,casa,critico_<5
casa branca,1,249.0,0.8901098901098901,20169.0,full,2025-01-06,1.0,casa,critico_<5
casa branca,7,350.0,0.3626373626373626,10710.0,full,2025-01-06,2.0,apartamento,pequeno_5-19
casa branca,1,500.0,0.45054945054945056,20500.0,full,2025-01-06,3.0,apartamento,critico_<5
centro,72,497.0,0.31868131868131866,13695.625,full,2025-01-06,1.0,apartamento,grande_50+
centro,53,621.66665,0.3516483516483517,18344.9997,full,2025-01-06,2.0,apartamento,grande_50+
centro,1,354.0,0.8571428571428571,27612.0,full,2025-01-06,2.0,casa,critico_<5
centro,38,749.5,0.4835164835164835,30075.0,full,2025-01-06,3.0,apartamento,medio_20-49
centro,1,1000.0,0.0,0.0,full,2025-01-06,3.0,casa,critico_<5
centro,1,950.0,0.6813186813186813,58900.0,full,2025-01-06,4.0,apartamento,critico_<5
centro,1,1000.0,0.6373626373626373,58000.0,full,2025-01-06,4.0,casa,critico_<5
centro,1,850.0,0.5824175824175825,45050.0,full,2025-01-06,5.0,apartamento,critico_<5
ilhota,1,590.0,0.1978021978021978,10620.0,full,2025-01-06,2.0,apartamento,critico_<5
ilhota,1,975.0,0.4175824175824176,37050.0,full,2025-01-06,4.0,casa,critico_<5
leopoldo zarling,1,200.0,0.23076923076923078,4200.0,full,2025-01-06,1.0,casa,critico_<5
meia praia,5,550.0,0.45054945054945056,13950.0,full,2025-01-06,0.0,apartamento,pequeno_5-19
meia praia,16,510.0,0.4230769230769231,15800.0,full,2025-01-06,1.0,apartamento,pequeno_5-19
meia praia,1,330.0,0.4945054945054945,14850.0,full,2025-01-06,1.0,hotel,critico_<5
meia praia,5,150.0,0.4725274725274725,5760.0,full,2025-01-06,1.0,outros,pequeno_5-19
meia praia,122,500.0,0.5054945054945055,19924.2859,full,2025-01-06,2.0,apartamento,grande_50+
meia praia,2,473.0,0.5494505494505495,23785.0,full,2025-01-06,2.0,casa,critico_<5
meia praia,281,700.0,0.42857142857142855,25740.0,full,2025-01-06,3.0,apartamento,grande_50+
meia praia,5,450.0,0.5824175824175825,20140.0,full,2025-01-06,3.0,casa,pequeno_5-19
meia praia,42,1100.0,0.41758241758241754,37283.399999999994,full,2025-01-06,4.0,apartamento,medio_20-49
meia praia,1,1100.0,0.31868131868131866,31900.0,full,2025-01-06,4.0,casa,critico_<5
meia praia,2,2200.0,0.6648351648351649,132950.0,full,2025-01-06,5.0,apartamento,critico_<5
missing/unknown,2,702.0,0.4010989010989011,19664.0,full,2025-01-06,-1.0,,critico_<5
morretes,3,525.0,0.4835164835164835,18000.0,full,2025-01-06,1.0,apartamento,critico_<5
morretes,2,282.0,0.34065934065934067,7585.0,full,2025-01-06,1.0,casa,critico_<5
morretes,39,500.0,0.4065934065934066,15573.83317,full,2025-01-06,2.0,apartamento,medio_20-49
morretes,7,361.0,0.3076923076923077,11760.0,full,2025-01-06,2.0,casa,pequeno_5-19
morretes,9,700.0,0.4945054945054945,32760.0,full,2025-01-06,3.0,apartamento,pequeno_5-19
morretes,1,500.0,0.2857142857142857,13000.0,full,2025-01-06,3.0,casa,critico_<5
morretes,3,1000.0,0.3626373626373626,33000.0,full,2025-01-06,4.0,apartamento,critico_<5
morretes,2,850.0,0.7472527472527473,56000.0,full,2025-01-06,4.0,casa,critico_<5
none,3,709.0,0.42857142857142855,27651.0,full,2025-01-06,1.0,casa,critico_<5
sertao do trombudo,1,1300.0,0.6373626373626373,75400.0,full,2025-01-06,4.0,casa,critico_<5
sertaozinho,1,369.0,0.14285714285714285,4797.0,full,2025-01-06,1.0,casa,critico_<5
sertaozinho,1,500.0,0.07692307692307693,3500.0,full,2025-01-06,3.0,casa,critico_<5
tabuleiro dos oliveiras,7,500.0,0.42857142857142855,15750.0,full,2025-01-06,2.0,apartamento,pequeno_5-19
tabuleiro dos oliveiras,3,610.0,0.26373626373626374,18330.0,full,2025-01-06,3.0,apartamento,critico_<5
tabuleiro dos oliveiras,1,1710.0,0.4065934065934066,63270.0,full,2025-01-06,4.0,casa,critico_<5
alto sao bento,1,180.0,0.2087912087912088,3420.0,suburb_low,2025-01-07,,,critico_<5
canto da praia,5,750.0,0.2087912087912088,13468.0,suburb_low,2025-01-07,,,pequeno_5-19
casa branca,5,350.0,0.45054945054945056,9840.0,suburb_low,2025-01-07,,,pequeno_5-19
centro,175,604.0,0.3516483516483517,17850.0,suburb_low,2025-01-07,,,grande_50+
ilhota,3,500.0,0.45054945054945056,18550.0,suburb_low,2025-01-07,,,critico_<5
jardim praiamar,1,200.0,0.34065934065934067,6200.0,suburb_low,2025-01-07,,,critico_<5
meia praia,500,633.0,0.46153846153846156,23023.5,suburb_low,2025-01-07,,,grande_50+
missing/unknown,2,1434.0,0.14835164835164835,15114.0,suburb_low,2025-01-07,,,critico_<5
morretes,61,500.0,0.4175824175824176,17328.0,suburb_low,2025-01-07,,,grande_50+
sertao do trombudo,1,1300.0,0.6263736263736264,74100.0,suburb_low,2025-01-07,,,critico_<5
sertaozinho,3,1651.25,0.08791208791208792,13210.0,suburb_low,2025-01-07,,,critico_<5
tabuleiro dos oliveiras,13,702.0,0.38461538461538464,17150.0,suburb_low,2025-01-07,,,pequeno_5-19
varzea,3,185.0,0.4725274725274725,7955.0,suburb_low,2025-01-07,,,critico_<5
,2,1434.0,0.14835164835164835,15114.0,bedrooms,2025-01-07,-1.0,,critico_<5
,4,540.0,0.34065934065934067,16840.0,bedrooms,2025-01-07,0.0,,critico_<5
,101,427.0,0.34065934065934067,13961.0,bedrooms,2025-01-07,1.0,,grande_50+
,255,498.0,0.46153846153846156,17937.333039999998,bedrooms,2025-01-07,2.0,,grande_50+
,344,700.0,0.45054945054945056,25200.0,bedrooms,2025-01-07,3.0,,grande_50+
,60,999.5,0.43956043956043955,38155.0,bedrooms,2025-01-07,4.0,,grande_50+
,3,1897.0,0.21978021978021978,29000.0,bedrooms,2025-01-07,5.0,,critico_<5
,2,2575.625,0.08791208791208792,20605.0,bedrooms,2025-01-07,6.0,,critico_<5
,2,1325.0,0.30219780219780223,36075.0,bedrooms,2025-01-07,7.0,,critico_<5
alto sao bento,1,180.0,0.2087912087912088,3420.0,full,2025-01-07,1.0,apartamento,critico_<5
canto da praia,1,793.0,0.0989010989010989,7137.0,full,2025-01-07,1.0,casa,critico_<5
canto da praia,2,634.0,0.24725274725274726,13859.0,full,2025-01-07,2.0,apartamento,critico_<5
canto da praia,1,300.0,0.7692307692307693,21000.0,full,2025-01-07,3.0,apartamento,critico_<5
canto da praia,1,3900.0,0.0,0.0,full,2025-01-07,4.0,casa,critico_<5
casa branca,4,295.0,0.4340659340659341,9730.0,full,2025-01-07,2.0,apartamento,critico_<5
casa branca,1,500.0,0.46153846153846156,21000.0,full,2025-01-07,3.0,apartamento,critico_<5
centro,72,497.0,0.3076923076923077,14279.0,full,2025-01-07,1.0,apartamento,grande_50+
centro,54,607.79165,0.34615384615384615,17893.499819999997,full,2025-01-07,2.0,apartamento,grande_50+
centro,40,775.0,0.46153846153846156,30867.5,full,2025-01-07,3.0,apartamento,medio_20-49
centro,1,350.0,0.6813186813186813,21700.0,full,2025-01-07,3.0,casa,critico_<5
centro,4,820.0,0.6208791208791209,44125.0,full,2025-01-07,4.0,apartamento,critico_<5
centro,4,1436.5,0.29120879120879123,30250.0,full,2025-01-07,4.0,casa,critico_<5
ilhota,1,350.0,0.5824175824175825,18550.0,full,2025-01-07,2.0,casa,critico_<5
ilhota,1,500.0,0.2967032967032967,13500.0,full,2025-01-07,3.0,apartamento,critico_<5
ilhota,1,975.0,0.45054945054945056,39975.0,full,2025-01-07,4.0,casa,critico_<5
jardim praiamar,1,200.0,0.34065934065934067,6200.0,full,2025-01-07,1.0,casa,critico_<5
meia praia,4,540.0,0.34065934065934067,16840.0,full,2025-01-07,0.0,apartamento,critico_<5
meia praia,16,490.0,0.4230769230769231,18360.0,full,2025-01-07,1.0,apartamento,pequeno_5-19
meia praia,3,230.0,0.15384615384615385,4200.0,full,2025-01-07,1.0,outros,critico_<5
meia praia,141,490.0,0.5054945054945055,19950.0,full,2025-01-07,2.0,apartamento,grande_50+
meia praia,1,299.0,0.5604395604395604,15249.0,full,2025-01-07,2.0,casa,critico_<5
meia praia,287,700.0,0.43956043956043955,25200.0,full,2025-01-07,3.0,apartamento,grande_50+
meia praia,1,450.0,0.45054945054945056,18450.0,full,2025-01-07,3.0,casa,critico_<5
meia praia,44,987.0,0.4285714285714286,37655.0,full,2025-01-07,4.0,apartamento,medio_20-49
meia praia,2,1673.5,0.31868131868131866,50543.0,full,2025-01-07,5.0,apartamento,critico_<5
meia praia,1,1300.0,0.46153846153846156,54600.0,full,2025-01-07,7.0,casa,critico_<5
missing/unknown,2,1434.0,0.14835164835164835,15114.0,full,2025-01-07,-1.0,,critico_<5
morretes,2,440.0,0.6868131868131868,26760.0,full,2025-01-07,1.0,apartamento,critico_<5
morretes,1,125.0,0.3626373626373626,4125.0,full,2025-01-07,1.0,outros,critico_<5
morretes,38,500.0,0.3901098901098901,15768.0,full,2025-01-07,2.0,apartamento,medio_20-49
morretes,7,361.0,0.31868131868131866,13328.0,full,2025-01-07,2.0,casa,pequeno_5-19
morretes,10,660.0,0.4835164835164835,32115.0,full,2025-01-07,3.0,apartamento,pequeno_5-19
morretes,1,490.0,0.6483516483516484,28910.0,full,2025-01-07,4.0,apartamento,critico_<5
morretes,2,850.0,0.7802197802197802,57950.0,full,2025-01-07,4.0,casa,critico_<5
sertao do trombudo,1,1300.0,0.6263736263736264,74100.0,full,2025-01-07,4.0,casa,critico_<5
sertaozinho,1,180.0,0.38461538461538464,6300.0,full,2025-01-07,1.0,casa,critico_<5
sertaozinho,2,2575.625,0.08791208791208792,20605.0,full,2025-01-07,6.0,casa,critico_<5
tabuleiro dos oliveiras,1,100.0,0.9120879120879121,8300.0,full,2025-01-07,1.0,outros,critico_<5
tabuleiro dos oliveiras,7,500.0,0.45054945054945056,17089.0,full,2025-01-07,2.0,apartamento,pequeno_5-19
tabuleiro dos oliveiras,2,681.5,0.25274725274725274,15674.5,full,2025-01-07,3.0,apartamento,critico_<5
tabuleiro dos oliveiras,1,1100.0,0.38461538461538464,38500.0,full,2025-01-07,4.0,apartamento,critico_<5
tabuleiro dos oliveiras,1,1710.0,0.3956043956043956,61560.0,full,2025-01-07,4.0,casa,critico_<5
tabuleiro dos oliveiras,1,1350.0,0.14285714285714285,17550.0,full,2025-01-07,7.0,casa,critico_<5
varzea,2,167.0,0.543956043956044,8149.5,full,2025-01-07,1.0,casa,critico_<5
varzea,1,2000.0,0.02197802197802198,4000.0,full,2025-01-07,5.0,casa,critico_<5
alto sao bento,3,280.0,0.31868131868131866,8557.0,suburb_low,2025-01-20,,,critico_<5
areal,1,556.0,0.5934065934065934,30024.0,suburb_low,2025-01-20,,,critico_<5
canto da praia,5,500.0,0.3516483516483517,15328.0,suburb_low,2025-01-20,,,pequeno_5-19
casa branca,7,300.0,0.38461538461538464,9120.0,suburb_low,2025-01-20,,,pequeno_5-19
centro,180,496.5,0.3076923076923077,13185.375,suburb_low,2025-01-20,,,grande_50+
ilhota,7,490.0,0.18681318681318682,8330.0,suburb_low,2025-01-20,,,pequeno_5-19
meia praia,483,586.0,0.4065934065934066,19200.0,suburb_low,2025-01-20,,,grande_50+
missing/unknown,3,786.6667,0.0989010989010989,5544.0,suburb_low,2025-01-20,,,critico_<5
morretes,66,464.0,0.3901098901098901,15607.5,suburb_low,2025-01-20,,,grande_50+
sertao do trombudo,3,390.0,0.17582417582417584,5920.0,suburb_low,2025-01-20,,,critico_<5
sertaozinho,3,1662.5,0.07692307692307693,23275.0,suburb_low,2025-01-20,,,critico_<5
tabuleiro dos oliveiras,16,509.0,0.31868131868131866,12515.0,suburb_low,2025-01-20,,,pequeno_5-19
varzea,3,700.0,0.8021978021978022,36900.0,suburb_low,2025-01-20,,,critico_<5
,3,786.6667,0.0989010989010989,5544.0,bedrooms,2025-01-20,-1.0,,critico_<5
,7,380.0,0.3076923076923077,9262.4,bedrooms,2025-01-20,0.0,,pequeno_5-19
,110,427.0,0.2802197802197802,10591.5,bedrooms,2025-01-20,1.0,,grande_50+
,262,450.0,0.38461538461538464,14560.5,bedrooms,2025-01-20,2.0,,grande_50+
,340,650.0,0.3956043956043956,20000.0,bedrooms,2025-01-20,3.0,,grande_50+
,53,900.0,0.4725274725274725,33110.0,bedrooms,2025-01-20,4.0,,grande_50+
,2,1200.0,0.4230769230769231,35250.0,bedrooms,2025-01-20,5.0,,critico_<5
,2,2581.25,0.11538461538461539,23887.5,bedrooms,2025-01-20,6.0,,critico_<5
,1,2500.0,0.31868131868131866,72500.0,bedrooms,2025-01-20,12.0,,critico_<5
