suburb_original,suburb_canonical,n
Meia Praia,Meia Praia,3439
Morretes,Morretes,1768
Centro,Centro,1006
Andorinha,Andorinha,779
Castelo Branco,Castelo Branco,506
Canto da Praia,Canto da Praia,131
Tabuleiro dos Oliveiras,Tabuleiro dos Oliveiras,127
Jardim Praia Mar,Jardim Praiamar,104
Casa Branca,Casa Branca,95
Alto São Bento,Alto São Bento,66
Ilhota,Ilhota,55
Varzea,Varzea,45
Sertão do Trombudo,Sertão Do Trombudo,39
Meia praia,Meia Praia,8
Tabuleiro,Tabuleiro dos Oliveiras,6
meia praia,Meia Praia,6
Estreito,Estreito,5
Itapema,Itapema,2
Sertão Do Trombudo,Sertão Do Trombudo,2
Sertãozinho,Sertãozinho,1
Ocean Tower,Ocean Tower,1
MEIA PRAIA,Meia Praia,1
Meia Praia - Frente Mar,Meia Praia,1
Taboleiro,Tabuleiro dos Oliveiras,1
CENTRO,Centro,1
